n rundy root
9000 123 8593
9000 140 3709
9000 153 5335
9000 119 6359
9000 129 8707
9000 148 3607
9000 147 247
9000 114 1185
9000 129 2628
9100 109 5899
9100 78 6071
9100 90 4899
9100 122 3795
9100 90 7298
9100 108 3305
9100 88 941
9100 100 7805
9100 100 6761
9100 73 3354
9100 105 6498
9100 93 2431
9100 113 8722
9100 109 5441
9100 106 5334
9100 106 6548
9200 172 5434
9200 169 2063
9200 176 125
9200 182 5899
9200 159 1459
9200 183 7180
9200 151 781
9200 180 3805
9200 171 5473
9200 122 1091
9200 143 3640
9200 138 6565
9200 117 283
9200 149 7402
9200 180 3200
9200 163 417
9300 151 6812
9300 149 792
9300 147 6206
9300 124 1919
9300 121 1569
9300 124 3102
9300 106 8829
9300 114 8413
9300 152 9195
9300 121 7648
9300 127 6090
9300 149 2584
9300 123 4792
9300 101 6573
9300 123 9146
9300 153 2274
9400 160 5031
9400 136 5333
9400 192 3218
9400 181 2582
9400 146 1748
9400 149 8489
9400 119 6070
9400 184 8642
9400 131 3580
9400 174 1399
9400 154 5760
9400 178 8121
9400 127 2666
9400 149 5991
9400 176 108
9400 181 9356
9500 104 388
9500 122 5586
9500 120 447
9500 109 5597
9500 138 4140
9500 128 1324
9500 123 5598
9500 115 6278
9500 115 3940
9500 123 8443
9500 129 1773
9500 118 3385
9500 125 4966
9500 82 2630
9500 143 939
9500 116 4235
9600 84 1048
9600 121 7476
9600 111 3859
9600 107 6247
9600 97 2337
9600 110 2992
9600 93 9369
9600 100 7298
9600 83 9512
9600 80 4222
9600 100 573
9600 80 3861
9600 80 9118
9600 86 6150
9600 86 4469
9600 95 6220
9700 95 3340
9700 109 9644
9700 100 3406
9700 110 2793
9700 121 733
9700 125 1990
9700 113 5136
9700 103 890
9700 131 5889
9700 148 9476
9700 115 3631
9700 111 8751
9700 131 2273
9700 106 1867
9700 129 4117
9700 102 812
9800 81 3784
9800 126 8164
9800 117 2304
9800 128 948
9800 92 3977
9800 118 6046
9800 115 9795
9800 108 8717
9800 92 4544
9800 88 3841
9800 91 3729
9800 80 7708
9800 111 2890
9800 114 6555
9800 106 6956
9800 116 544
9900 124 2679
9900 133 7822
9900 165 2738
9900 150 5564
9900 150 2532
9900 154 8895
9900 139 8313
9900 131 2838
9900 157 154
9900 127 2455
9900 147 2904
9900 139 7140
9900 168 8308
9900 134 7796
9900 159 93
9900 144 6776
10000 129 2966
10000 101 6344
10000 112 7628
10000 130 9067
10000 134 1474
10000 111 6074
10000 133 9589
10000 119 8275
10000 106 6966
10000 155 3951
10000 150 862
10000 153 7341
10000 117 6347
10000 141 9381
10000 101 9790
10000 111 5650
