n rundy root
8300 101 3393
8300 106 5505
8300 81 2521
8300 114 8244
8300 117 6004
8300 96 1887
8300 91 5494
8300 115 1009
8300 111 979
8300 117 4661
8300 112 1920
8300 95 7760
8300 91 6770
8400 114 6306
8400 111 8010
8400 96 5750
8400 122 5510
8400 96 3060
8400 94 5973
8400 103 5857
8400 86 265
8400 112 2814
8400 112 2457
8400 74 6166
8400 99 4551
8400 108 6189
8400 127 5921
8400 111 2510
8400 89 5586
8500 81 1719
8500 76 4975
8500 80 7863
8500 94 1946
8500 86 2504
8500 71 2541
8500 103 4583
8500 98 2475
8500 74 1639
8500 78 3109
8500 107 265
8500 91 1696
8500 104 3697
8500 80 451
8500 93 7068
8500 104 5375
8600 140 7146
8600 109 3930
8600 88 8079
8600 91 5991
8600 120 4886
8600 106 767
8600 118 1892
8600 108 6320
8600 92 1850
8600 105 6820
8600 121 2697
8600 138 3910
8600 108 8209
8600 119 6548
8600 93 5487
8600 150 8540
8700 116 3044
8700 154 846
8700 138 4972
8700 144 7939
8700 137 2850
8700 122 5097
8700 137 5199
8700 127 5782
8700 171 2652
8700 131 6073
8700 141 8362
8700 144 2732
8700 127 768
8700 117 7532
8700 114 8543
8700 145 4107
8800 130 1521
8800 78 6419
8800 80 2616
8800 81 5451
8800 120 5221
8800 99 245
8800 113 4745
8800 117 3961
8800 88 2618
8800 112 5283
8800 106 5464
8800 115 2765
8800 126 6489
8800 94 1131
8800 119 3240
8800 112 3218
8900 114 451
8900 125 4027
8900 90 7475
8900 121 8543
8900 104 1696
8900 133 3931
8900 154 7251
8900 112 3370
8900 115 5042
8900 137 4715
8900 160 2730
8900 104 3781
8900 118 5942
8900 135 7560
8900 145 8213
8900 106 2925
9000 78 351
9000 126 7243
9000 133 2934
9000 99 3292
9000 134 6315
9000 132 2111
9000 110 6861
9000 89 5063
9000 122 1267
9000 134 5982
9000 95 4364
9000 114 4705
9000 121 8294
9000 103 8448
9000 107 4939
9000 107 3421
9100 121 7170
9100 121 5164
9100 141 1125
9100 113 4641
9100 111 1916
9100 143 5857
9100 105 5100
9100 132 8843
9100 135 2798
9100 122 2042
9100 127 4265
9100 103 2304
9100 124 974
9100 124 3365
9100 116 160
9100 114 4442
9200 169 4348
9200 128 6478
9200 139 1037
9200 168 4300
9200 186 1361
9200 167 4223
9200 128 9112
9200 164 5619
9200 139 8434
9200 156 9044
9200 141 8694
9200 138 2384
9200 183 1764
9200 169 7771
9200 168 1830
9200 129 6849
9300 113 4357
9300 98 1704
9300 87 5514
9300 92 7287
9300 85 6327
9300 81 494
9300 119 6490
9300 92 1395
9300 110 3079
9300 107 2427
9300 114 3510
9300 74 2361
9300 113 8948
9300 85 6088
9300 94 6359
9300 117 26
9400 134 3485
9400 129 985
9400 120 4688
9400 134 8745
9400 106 7221
9400 155 7169
9400 135 8001
9400 148 1874
9400 124 4185
9400 139 7498
9400 134 4790
9400 133 8155
9400 115 4715
9400 127 421
9400 150 3489
9400 145 6764
9500 125 5995
9500 135 239
9500 115 7416
9500 91 7862
9500 101 4141
9500 121 5281
9500 122 619
9500 117 3369
9500 136 904
9500 132 8281
9500 102 2922
9500 107 4742
9500 130 5471
