-1  25  15  15
 2.104212516  7  11  7  H
 2.128495660  7  11  8  H
 2.169381668  7  10  8  H
 2.189325805  7  10  7  H
 2.202959942  7  9  7  H
 2.236141485  7  8  7  H
 2.280151647  7  8  6  H
 2.336217125  7  7  6  H
 2.384590838  7  7  7  H
 2.435733474  7  8  7  H
 2.476715054  7  9  7  H
 2.523191220  7  10  7  H
 2.542778861  7  11  7  H
 2.568768484  7  12  7  H
 2.594683073  7  12  6  H
 2.648954119  7  12  5  H
 0.001716849  12  8  14  M
 0.041882522  12  8  0  M
 0.074963000  12  7  0  M
 0.113479810  12  7  1  M
 0.172071306  12  8  1  M
 0.218305598  12  9  1  M
 0.239682714  12  8  1  M
 0.278416455  12  7  1  M
 0.302715376  12  7  2  M
 0.362154717  12  8  2  M
 0.376254426  12  8  3  M
 0.395511748  12  8  2  M
 0.442932912  12  7  2  M
 0.497005397  12  8  2  M
 0.532371253  12  8  1  M
 0.565288084  12  7  1  M
 0.591499618  12  7  0  M
 0.638981595  12  7  14  M
 0.655551296  12  7  0  M
 0.695796503  12  8  0  M
 0.710848366  12  8  1  M
 0.761601698  12  7  1  M
 0.814431436  12  7  0  M
 0.849821939  12  8  0  M
 0.890395572  12  9  0  M
 0.919758669  12  9  1  M
 0.933378391  12  9  0  M
 0.981909295  12  8  0  M
 1.011728589  12  8  14  M
 1.033273538  12  9  14  M
 1.071278983  12  10  14  M
 1.108545304  12  10  0  M
 1.153879316  12  11  0  M
 1.185231566  12  11  14  M
 1.204397658  12  12  14  M
 1.230491252  12  11  14  M
 1.289761471  12  11  0  M
 1.347151396  12  11  1  M
 1.380619162  12  10  1  M
 1.395442513  12  9  1  M
 1.419938193  12  10  1  M
 1.442159576  12  9  1  M
 1.502770502  12  10  1  M
 1.515761108  12  10  0  M
 1.564777672  12  10  1  M
 1.578418160  12  11  1  M
 1.627991497  12  10  1  M
 1.685719700  12  9  1  M
 1.706435071  12  9  0  M
 1.756629591  12  8  0  M
 1.808563327  12  7  0  M
 1.858689970  12  8  0  M
