n;min;p
240000;19;0.5
240000;20;0.5
240000;19;0.5
240000;21;0.5
240000;20;0.5
240000;19;0.5
240000;20;0.5
240000;20;0.5
240000;19;0.5
240000;21;0.5
240000;23;0.5
240000;20;0.5
240000;18;0.5
240000;18;0.5
240000;21;0.5
240000;20;0.5
240000;19;0.5
240000;21;0.5
240000;20;0.5
240000;18;0.5
240000;19;0.5
240000;22;0.5
240000;19;0.5
240000;22;0.5
240000;22;0.5
240000;20;0.5
240000;21;0.5
240000;21;0.5
250000;23;0.5
250000;23;0.5
250000;20;0.5
250000;21;0.5
250000;22;0.5
250000;20;0.5
250000;24;0.5
250000;21;0.5
250000;23;0.5
250000;20;0.5
250000;19;0.5
250000;24;0.5
250000;18;0.5
250000;21;0.5
250000;21;0.5
250000;23;0.5
250000;18;0.5
250000;19;0.5
250000;18;0.5
250000;20;0.5
250000;20;0.5
250000;20;0.5
250000;20;0.5
250000;20;0.5
250000;20;0.5
250000;21;0.5
250000;22;0.5
250000;21;0.5
250000;24;0.5
250000;19;0.5
250000;20;0.5
250000;20;0.5
250000;19;0.5
250000;19;0.5
250000;18;0.5
250000;19;0.5
250000;19;0.5
250000;23;0.5
250000;19;0.5
250000;21;0.5
250000;20;0.5
250000;19;0.5
250000;23;0.5
250000;18;0.5
250000;22;0.5
250000;19;0.5
250000;24;0.5
250000;19;0.5
250000;21;0.5
250000;20;0.5
260000;22;0.5
260000;24;0.5
260000;24;0.5
260000;19;0.5
260000;19;0.5
260000;17;0.5
260000;19;0.5
260000;20;0.5
260000;19;0.5
260000;19;0.5
260000;18;0.5
260000;25;0.5
260000;21;0.5
260000;18;0.5
260000;20;0.5
260000;20;0.5
260000;19;0.5
260000;21;0.5
260000;18;0.5
260000;18;0.5
260000;19;0.5
260000;21;0.5
260000;20;0.5
260000;19;0.5
260000;18;0.5
260000;21;0.5
260000;23;0.5
260000;23;0.5
260000;19;0.5
260000;21;0.5
260000;19;0.5
260000;19;0.5
260000;21;0.5
260000;21;0.5
260000;21;0.5
260000;19;0.5
260000;20;0.5
260000;19;0.5
260000;23;0.5
260000;22;0.5
260000;22;0.5
260000;18;0.5
260000;24;0.5
260000;20;0.5
260000;19;0.5
260000;19;0.5
260000;21;0.5
260000;20;0.5
260000;19;0.5
260000;22;0.5
270000;21;0.5
270000;19;0.5
270000;22;0.5
270000;18;0.5
270000;19;0.5
270000;28;0.5
270000;19;0.5
270000;20;0.5
270000;20;0.5
270000;20;0.5
270000;18;0.5
270000;20;0.5
270000;23;0.5
270000;20;0.5
270000;22;0.5
270000;22;0.5
270000;22;0.5
270000;19;0.5
270000;19;0.5
270000;19;0.5
270000;24;0.5
270000;21;0.5
270000;20;0.5
270000;24;0.5
270000;20;0.5
270000;23;0.5
270000;21;0.5
270000;22;0.5
270000;22;0.5
270000;19;0.5
270000;18;0.5
270000;21;0.5
270000;20;0.5
270000;22;0.5
270000;21;0.5
270000;20;0.5
270000;20;0.5
270000;20;0.5
270000;19;0.5
270000;20;0.5
270000;23;0.5
270000;20;0.5
270000;24;0.5
270000;21;0.5
270000;21;0.5
270000;19;0.5
270000;21;0.5
270000;22;0.5
270000;19;0.5
270000;19;0.5
280000;19;0.5
280000;25;0.5
280000;22;0.5
280000;19;0.5
280000;21;0.5
280000;22;0.5
280000;20;0.5
280000;19;0.5
280000;20;0.5
280000;23;0.5
280000;19;0.5
280000;22;0.5
280000;20;0.5
280000;22;0.5
280000;19;0.5
280000;21;0.5
280000;18;0.5
280000;20;0.5
280000;19;0.5
280000;22;0.5
280000;19;0.5
280000;20;0.5
280000;19;0.5
280000;17;0.5
280000;19;0.5
280000;20;0.5
280000;26;0.5
280000;23;0.5
280000;20;0.5
280000;21;0.5
280000;23;0.5
280000;22;0.5
280000;20;0.5
280000;19;0.5
280000;19;0.5
280000;20;0.5
280000;20;0.5
280000;18;0.5
280000;20;0.5
280000;19;0.5
280000;19;0.5
280000;21;0.5
280000;18;0.5
280000;19;0.5
280000;20;0.5
280000;20;0.5
280000;20;0.5
280000;20;0.5
280000;22;0.5
280000;20;0.5
290000;27;0.5
290000;19;0.5
290000;22;0.5
290000;21;0.5
290000;22;0.5
290000;20;0.5
290000;20;0.5
290000;23;0.5
290000;25;0.5
290000;20;0.5
290000;19;0.5
290000;21;0.5
290000;18;0.5
290000;24;0.5
290000;19;0.5
290000;18;0.5
290000;25;0.5
290000;23;0.5
290000;20;0.5
290000;20;0.5
290000;25;0.5
290000;20;0.5
290000;19;0.5
290000;21;0.5
290000;21;0.5
290000;20;0.5
290000;18;0.5
290000;19;0.5
290000;21;0.5
290000;19;0.5
290000;20;0.5
290000;18;0.5
290000;22;0.5
290000;20;0.5
290000;23;0.5
290000;24;0.5
290000;23;0.5
290000;21;0.5
290000;18;0.5
290000;22;0.5
290000;21;0.5
290000;18;0.5
290000;22;0.5
290000;20;0.5
290000;17;0.5
290000;19;0.5
290000;22;0.5
290000;19;0.5
290000;21;0.5
290000;22;0.5
300000;21;0.5
300000;19;0.5
300000;24;0.5
300000;19;0.5
300000;18;0.5
300000;21;0.5
300000;22;0.5
300000;25;0.5
300000;20;0.5
300000;20;0.5
300000;22;0.5
300000;20;0.5
300000;20;0.5
300000;18;0.5
300000;21;0.5
300000;20;0.5
300000;19;0.5
300000;20;0.5
300000;19;0.5
300000;21;0.5
300000;21;0.5
300000;22;0.5
300000;20;0.5
300000;20;0.5
300000;23;0.5
300000;22;0.5
300000;19;0.5
300000;22;0.5
300000;21;0.5
300000;20;0.5
300000;18;0.5
300000;23;0.5
300000;22;0.5
300000;20;0.5
300000;25;0.5
300000;20;0.5
300000;20;0.5
300000;22;0.5
300000;19;0.5
300000;21;0.5
300000;19;0.5
300000;20;0.5
300000;18;0.5
300000;23;0.5
300000;20;0.5
300000;19;0.5
300000;21;0.5
300000;22;0.5
300000;19;0.5
300000;20;0.5
310000;19;0.5
310000;19;0.5
310000;19;0.5
310000;18;0.5
310000;21;0.5
310000;22;0.5
310000;21;0.5
310000;19;0.5
310000;25;0.5
310000;20;0.5
310000;19;0.5
310000;22;0.5
310000;21;0.5
310000;20;0.5
310000;21;0.5
310000;20;0.5
310000;19;0.5
310000;19;0.5
310000;23;0.5
310000;21;0.5
310000;19;0.5
310000;21;0.5
310000;19;0.5
310000;24;0.5
310000;22;0.5
310000;19;0.5
310000;21;0.5
310000;20;0.5
310000;20;0.5
310000;20;0.5
310000;21;0.5
310000;24;0.5
310000;19;0.5
310000;20;0.5
310000;23;0.5
310000;19;0.5
310000;21;0.5
310000;20;0.5
310000;19;0.5
310000;21;0.5
310000;21;0.5
310000;21;0.5
310000;20;0.5
310000;22;0.5
310000;21;0.5
310000;19;0.5
310000;19;0.5
310000;20;0.5
310000;19;0.5
310000;18;0.5
320000;21;0.5
320000;21;0.5
