n;min;p
300000;140;0.1
300000;125;0.1
300000;119;0.1
300000;121;0.1
300000;123;0.1
300000;121;0.1
300000;143;0.1
300000;113;0.1
300000;131;0.1
300000;123;0.1
300000;139;0.1
300000;116;0.1
300000;113;0.1
300000;118;0.1
300000;126;0.1
300000;115;0.1
300000;130;0.1
300000;158;0.1
300000;114;0.1
300000;160;0.1
300000;114;0.1
300000;131;0.1
300000;111;0.1
300000;124;0.1
300000;126;0.1
310000;133;0.1
310000;153;0.1
310000;131;0.1
310000;117;0.1
310000;126;0.1
310000;130;0.1
310000;116;0.1
310000;134;0.1
310000;158;0.1
310000;115;0.1
310000;113;0.1
310000;122;0.1
310000;141;0.1
310000;136;0.1
310000;128;0.1
310000;139;0.1
310000;117;0.1
310000;132;0.1
310000;113;0.1
310000;123;0.1
310000;132;0.1
310000;120;0.1
310000;126;0.1
310000;122;0.1
310000;141;0.1
310000;115;0.1
310000;116;0.1
310000;129;0.1
310000;111;0.1
310000;143;0.1
310000;106;0.1
310000;133;0.1
310000;144;0.1
310000;117;0.1
310000;154;0.1
310000;122;0.1
310000;136;0.1
310000;134;0.1
310000;129;0.1
310000;184;0.1
310000;117;0.1
310000;128;0.1
310000;129;0.1
310000;134;0.1
310000;115;0.1
310000;135;0.1
310000;137;0.1
310000;121;0.1
310000;124;0.1
310000;143;0.1
320000;122;0.1
320000;110;0.1
